"","ftTrumpPre","ftTrumpPost","age"
"1317",100,100,75
"1318",100,-6,32
"1319",0,0,29
"1320",85,70,74
"1321",50,-6,70
"1322",100,100,57
"1323",0,0,80
"1324",60,85,38
"1325",45,40,21
"1326",85,-6,71
"1327",0,0,46
"1328",100,100,72
"1329",60,60,62
"1330",0,0,40
"1331",60,-7,50
"1332",30,40,43
"1333",0,0,59
"1334",50,40,27
"1335",0,0,36
"1336",100,100,31
"1337",90,54,22
"1338",85,85,66
"1339",0,0,44
"1340",0,0,72
"1341",0,-6,31
"1342",0,15,67
"1343",75,-6,65
"1344",100,100,71
"1345",0,0,-9
"1346",0,-9,42
"1347",70,100,49
"1348",0,0,59
"1349",0,0,67
"1350",0,0,77
"1351",0,0,36
"1352",0,0,61
"1353",100,85,66
"1354",60,30,41
"1355",85,80,64
"1356",15,50,37
"1357",40,40,80
"1358",0,0,72
"1359",40,50,37
"1360",30,15,43
"1361",0,0,28
"1362",70,70,36
"1363",70,60,23
"1364",0,0,77
"1365",30,0,73
"1366",100,100,45
"1367",60,60,27
"1368",70,70,-9
"1369",30,70,38
"1370",0,0,51
"1371",70,85,30
"1372",30,15,80
"1373",85,75,58
"1374",0,0,72
"1375",60,100,26
"1376",0,0,-9
"1377",0,0,57
"1378",15,0,37
"1379",0,0,39
"1380",0,-6,54
"1381",60,60,33
"1382",100,50,64
"1383",0,0,72
"1384",70,60,61
"1385",0,0,60
"1386",0,0,73
"1387",100,100,59
"1388",85,70,37
"1389",0,0,48
"1390",0,0,58
"1391",15,5,59
"1392",0,-6,64
"1393",100,100,71
"1394",-9,50,76
"1395",85,100,32
"1396",15,40,39
"1397",0,0,64
"1398",0,0,69
"1399",55,60,38
"1400",-9,50,68
"1401",0,0,40
"1402",0,0,30
"1403",0,0,30
"1404",65,65,64
"1405",100,100,69
"1406",0,0,62
"1407",30,50,22
"1408",88,-6,53
"1409",100,85,53
"1410",70,-6,39
"1411",0,0,41
"1412",10,0,64
"1413",0,-9,66
"1414",70,60,64
"1415",0,0,53
"1416",85,100,70
"1417",70,80,55
"1418",70,70,53
"1419",85,100,38
"1420",50,70,35
"1421",35,15,37
"1422",0,0,50
"1423",85,85,56
"1424",50,50,43
"1425",15,0,27
"1426",0,0,36
"1427",85,85,51
"1428",15,0,37
"1429",0,0,52
"1430",-9,0,61
"1431",1,0,42
"1432",30,30,69
"1433",85,85,80
"1434",100,100,80
"1435",30,0,-9
"1436",85,-6,56
"1437",0,0,35
"1438",0,0,55
"1439",85,100,47
"1440",15,0,80
"1441",0,0,50
"1442",0,0,61
"1443",40,-9,43
"1444",85,70,50
"1445",0,0,53
"1446",40,16,59
"1447",15,0,69
"1448",100,100,39
"1449",100,90,60
"1450",75,80,47
"1451",0,-6,50
"1452",85,70,80
"1453",70,70,57
"1454",0,0,34
"1455",85,100,59
"1456",60,60,80
"1457",0,0,63
"1458",0,15,36
"1459",70,60,31
"1460",85,85,76
"1461",85,70,61
"1462",85,60,63
"1463",0,0,51
"1464",0,0,40
"1465",0,-7,46
"1466",60,60,48
"1467",0,0,45
