"","V202290x","V201507x","V202073"
"941",4,28,2
"942",-6,50,-6
"943",4,45,1
"944",4,35,-1
"945",4,73,2
"946",4,37,-1
"947",4,53,-1
"948",2,27,1
"949",4,45,2
"950",-7,45,-7
"951",4,40,-1
"952",2,32,1
"953",7,58,2
"954",1,70,1
"955",4,78,1
"956",4,71,-1
"957",4,58,1
"958",4,62,1
"959",4,27,2
"960",4,23,-1
"961",6,41,1
"962",4,57,5
"963",4,45,2
"964",4,57,2
"965",2,26,2
"966",4,66,-1
"967",4,63,1
"968",1,65,1
"969",4,63,1
"970",4,34,1
"971",4,60,1
"972",4,50,-1
"973",4,45,2
"974",2,34,1
"975",1,-9,1
"976",4,41,1
"977",4,62,2
"978",2,46,2
"979",4,43,1
"980",4,80,-1
"981",-7,35,-7
"982",4,71,-1
"983",4,31,1
"984",4,30,-1
"985",4,38,1
"986",4,67,1
"987",4,60,1
"988",-7,27,-7
"989",1,67,2
"990",4,34,1
"991",4,34,3
"992",4,-9,2
"993",4,46,2
"994",4,43,1
"995",-6,74,-6
"996",4,51,1
"997",4,51,2
"998",2,66,2
"999",4,70,1
"1000",4,70,-1
"1001",2,-9,-1
"1002",1,66,2
"1003",4,32,1
"1004",4,54,1
"1005",4,23,2
"1006",4,41,1
"1007",-6,30,-6
"1008",4,43,1
"1009",-6,41,-6
"1010",1,78,1
"1011",1,55,2
"1012",2,80,2
"1013",4,58,2
"1014",-6,50,-6
"1015",6,33,5
"1016",4,24,2
"1017",4,80,2
"1018",1,-9,2
"1019",4,48,1
"1020",4,63,1
"1021",4,36,1
"1022",-5,-9,-1
"1023",4,50,2
"1024",4,62,2
"1025",2,80,1
"1026",2,66,-1
"1027",4,43,1
"1028",4,-9,1
"1029",4,39,1
"1030",4,71,1
"1031",4,64,2
"1032",4,52,2
"1033",2,36,1
"1034",-6,51,-6
"1035",4,56,2
"1036",2,65,-1
"1037",-6,21,-6
"1038",4,41,-1
"1039",4,37,1
"1040",4,72,1
"1041",4,42,2
"1042",4,79,1
"1043",4,32,1
"1044",2,43,2
"1045",4,23,1
"1046",1,36,1
"1047",4,60,2
"1048",4,29,2
"1049",4,66,-1
"1050",2,78,2
"1051",4,70,2
"1052",-6,80,-6
"1053",4,33,2
"1054",4,27,1
"1055",4,61,2
"1056",4,35,-1
"1057",1,41,2
"1058",4,30,1
"1059",4,72,1
"1060",4,33,2
"1061",4,35,2
"1062",1,33,2
"1063",4,74,1
"1064",4,38,1
"1065",4,80,2
"1066",1,46,1
"1067",-7,30,-7
"1068",-6,57,-6
"1069",4,50,-1
"1070",2,24,-1
"1071",4,80,-1
"1072",2,59,2
"1073",5,74,1
"1074",3,39,-1
"1075",4,75,1
"1076",6,30,1
"1077",2,-9,2
"1078",1,80,2
"1079",4,31,1
"1080",4,69,-1
"1081",4,56,1
"1082",1,75,2
"1083",4,65,1
"1084",4,29,-1
"1085",4,72,2
"1086",-6,60,-6
"1087",4,25,1
"1088",-6,78,-6
"1089",2,60,1
"1090",2,53,2
"1091",4,66,1
"1092",4,35,2
"1093",2,61,2
"1094",2,46,1
"1095",4,70,2
"1096",4,78,2
"1097",2,63,2
"1098",-6,40,-6
"1099",4,51,1
"1100",2,-9,2
"1101",4,41,1
"1102",4,80,2
"1103",4,25,1
"1104",1,41,-1
"1105",4,29,1
"1106",4,57,1
"1107",4,51,1
"1108",2,31,2
"1109",6,58,-9
"1110",2,53,4
"1111",4,45,-1
"1112",4,54,1
"1113",1,55,1
"1114",1,76,2
"1115",4,53,2
"1116",4,56,1
"1117",4,49,1
"1118",4,-9,1
"1119",4,55,1
"1120",4,72,1
"1121",4,57,2
"1122",5,30,1
"1123",4,37,1
"1124",4,74,-1
"1125",4,38,1
"1126",4,68,2
"1127",4,75,1
"1128",4,71,1
"1129",-2,68,2
"1130",4,32,1
"1131",4,50,1
"1132",4,65,2
"1133",4,35,1
"1134",-6,26,-6
"1135",4,37,1
"1136",1,78,2
"1137",4,42,2
"1138",4,42,2
"1139",1,71,-1
